Task_ID,Task_Name,Action,Status,Date_Time
1,cab booking,Created,Completed,06/07/2026 11:45 AM
1,Cab,Updated,Failed,06/07/2026 11:47 AM
1,caing,Created,Pending,06/07/2026 12:21 PM
2,Assignment,Created,Pending,06/07/2026 12:33 PM
3,watching,Created,Pending,06/07/2026 12:42 PM
5,Write Book,Created,Pending,06/07/2026 02:12 PM
6,ola booking,Created,Pending,06/07/2026 02:17 PM
6,Listening songs,Created,Pending,06/07/2026 03:16 PM
10,movie time,Created,Pending,06/07/2026 04:18 PM
11,riding,Created,Pending,06/07/2026 04:37 PM
12,Train booking,Created,Completed,06/07/2026 06:42 PM
14,cab booking,Created,Pending,06/07/2026 10:13 PM
13,,Deleted,,06/07/2026 10:13 PM
14,cab booking,Deleted,Pending,06/07/2026 10:14 PM
14,cab booking,Undo Delete,Pending,06/07/2026 10:14 PM
15,cab book,Created,Pending,06/07/2026 10:18 PM
24,cab booking,Created,Delhi,07/07/2026 07:38 PM
28,watching tv,Created,Pending,07/07/2026 07:40 PM
26,cab booking,Created,Pending,07/07/2026 08:34 PM
28,watching tv,Deleted,Pending,07/07/2026 08:39 PM
exit,,Updated,,07/07/2026 08:45 PM
exit,,Updated,,07/07/2026 08:45 PM
exit,,Updated,,07/07/2026 08:48 PM
34,watching TV,Created,weekly,07/07/2026 08:54 PM
33,,Deleted,,07/07/2026 08:55 PM
34,watching TV,Deleted,weekly,07/07/2026 08:55 PM
34,watching TV,Undo Delete,weekly,07/07/2026 08:56 PM
